country	capital city	continent
Abkhazia	Sukhumi	
Afghanistan	Kabul	Asia
Åland Islands	Mariehamn	Europe
Albania	Tirana	Europe
Algeria	Algiers	Africa
America Samoa	Pago Pago	Oceania
Andorra	Andorra la Vella	Europe
Angola	Luanda	Africa
Anguilla	The Valley	
Antigua and Barbuda	Saint John's	North America
Argentina	Buenos Aires	South America
Armenia	Yerevan	Asia
Aruba	Oranjestad	South America
Ascension Island	Georgetown	
Australia	Canberra	Oceania
Austria	Vienna	Europe
Azerbaijan	Baku	Asia
Bahamas	Nassau	North America
Bahrain	Manama	Asia
Bangladesh	Dhaka	Asia
Barbados	Bridgetown	North America
Belarus	Minsk	Europe
Belgium	Brussels	Europe
Belize	Belmopan	North America
Benin	Porto Novo	Africa
Bermuda	Hamilton	North America
Bhutan	Thimphu	Asia
Bolivia	La Paz	South America
Bosnia and Herzegovina	Sarajevo	Europe
Botswana	Gaborone	Africa
Brazil	Brasilia	South America
British Antarctic Territory	Rothera	
British Indian Ocean Territory	Diego Garcia	Asia
British Virgin Islands	Road Town	
Brunei	Bandar Seri Begawan	Asia
Bulgaria	Sofia	Europe
Burkina Faso	Ouagadougou	Africa
Burundi	Bujumbura	Africa
Cambodia	Phnom Penh	Asia
Cameroon	Yaoundé	Africa
Canada	Ottawa	North America
Cape Verde	Praia	Africa
Cayman Islands	George Town	North America
Central African Republic	Bangui	Africa
Chad	N'Djamena	Africa
Chile	Santiago	South America
China	Beijing	Asia
Christmas Island	Flying Fish Cove	Oceania
Cocos Islands	West Island	
Colombia	Bogota	South America
Comoros	Moroni	Africa
Congo	Brazzaville	Africa
Costa Rica	San Jose	North America
Croatia	Zagreb	Europe
Cuba	Havana	North America
Curaçao	Willemstad	
Cyprus	Nicosia	Asia
Czech Republic	Prague	Europe
Democratic Republic of the Congo	Kinshasa	Africa
Denmark	Copenhagen	Europe
Djibouti	Djibouti	Africa
Dominica	Roseau	North America
Dominican Republic	Santo Domingo	North America
East Timor	Dili	Asia
Ecuador	Quito	South America
Egypt	Cairo	Africa
El Salvador	San Salvador	North America
Equatorial Guinea	Malabo	Africa
Eritrea	Asmara	Africa
Estonia	Tallinn	Europe
Eswatini	Mbabane	Africa
Ethiopia	Addis Ababa	Africa
Falkland Islands	Stanley	South America
Faroe Islands	Tórshavn	Europe
Fiji	Suva	Oceania
Finland	Helsinki	Europe
France	Paris	Europe
French Polynesia	Papeete	
Gabon	Libreville	Africa
Gambia	Banjul	Africa
Georgia	Tbilisi	
Germany	Berlin	Europe
Ghana	Accra	Africa
Gibraltar	Gibraltar	Europe
Greece	Athens	Europe
Greenland	Nuuk	North America
Grenada	Saint George's	North America
Guam	Hagåtña	Oceania
Guatemala	Guatemala City	North America
Guernsey	Saint Peter Port	
Guinea	Conakry	Africa
Guinea-Bissau	Bissau	Africa
Guyana	Georgetown	South America
Haiti	Port au Prince	North America
Honduras	Tegucigalpa	North America
Hungary	Budapest	Europe
Iceland	Reykjavik	Europe
India	New Delhi	Asia
Indonesia	Jakarta	Asia
Iran	Tehran	Asia
Iraq	Baghdad	Asia
Ireland	Dublin	Europe
Isle of Man	Douglas	Europe
Israel	Jerusalem	Asia
Italy	Rome	Europe
Ivory Coast	Yamoussoukro	Africa
Jamaica	Kingston	North America
Japan	Tokyo	Asia
Jersey	Saint Helier	
Jordan	Amman	Asia
Kazakhstan	Astana	Asia
Kenya	Nairobi	Africa
Kiribati	Tarawa Atoll	Oceania
Kosovo	Pristina	Europe
Kuwait	Kuwait City	Asia
Kyrgyzstan	Bishkek	Asia
Laos	Vientiane	Asia
Latvia	Riga	Europe
Lebanon	Beirut	Asia
Lesotho	Maseru	Africa
Liberia	Monrovia	Africa
Libya	Tripoli	Africa
Liechtenstein	Vaduz	Europe
Lithuania	Vilnius	Europe
Luxembourg	Luxembourg	Europe
Madagascar	Antananarivo	Africa
Malawi	Lilongwe	Africa
Malaysia	Kuala Lumpur	Asia
Maldives	Malé	Asia
Mali	Bamako	Africa
Malta	Valletta	Europe
Marshall Islands	Majuro	Oceania
Mauritania	Nouakchott	Africa
Mauritius	Port Louis	Africa
Mexico	Mexico City	North America
Micronesia	Palikir	Oceania
Moldova	Chisinau	Europe
Monaco	Monaco	Europe
Mongolia	Ulaanbaatar	Asia
Montenegro	Podgorica	Europe
Montserrat	Plymouth	North America
Morocco	Rabat	Africa
Mozambique	Maputo	Africa
Myanmar	Naypyidaw	Asia
Namibia	Windhoek	Africa
Nauru	Yaren	Oceania
Nepal	Kathmandu	Asia
Netherlands	Amsterdam	Europe
New Zealand	Wellington	Oceania
Nicaragua	Managua	North America
Niger	Niamey	Africa
Nigeria	Abuja	Africa
Niue	Alofi	Oceania
Norfolk Island	Kingston	Oceania
North Korea	Pyongyang	Asia
North Macedonia	Skopje	Europe
Northern Cyprus	Nicosia	Asia
Northern Mariana Islands	Saipan	
Norway	Oslo	Europe
Oman	Muscat	Asia
Pakistan	Islamabad	Asia
Palau	Ngerulmud	Oceania
Palestine	Ramallah	Asia
Panama	Panama City	North America
Papua New Guinea	Port Moresby	Oceania
Paraguay	Asunción	South America
Peru	Lima	South America
Philippines	Manila	Asia
Pitcairn Islands	Adamstown	
Poland	Warsaw	Europe
Portugal	Lisbon	Europe
Puerto Rico	San Juan	North America
Qatar	Doha	Asia
Romania	Bucharest	Europe
Russia	Moscow	Europe
Rwanda	Kigali	Africa
Saint Barthélemy	Gustavia	
Saint Helena	Jamestown	
Saint Kitts and Nevis	Basseterre	North America
Saint Lucia	Castries	North America
Saint Martin	Marigot	
Saint Pierre and Miquelon	Saint Pierre	
Saint Vincent and the Grenadines	Kingstown	North America
Samoa	Apia	Oceania
San Marino	San Marino	Europe
Sao Tome and Principe	Sao Tome	Africa
Saudi Arabia	Riyadh	Asia
Senegal	Dakar	Africa
Serbia	Belgrade	Europe
Seychelles	Victoria	Africa
Sierra Leone	Freetown	Africa
Singapore	Singapore	Asia
Sint Maarten	Philipsburg	
Slovakia	Bratislava	Europe
Slovenia	Ljubljana	Europe
Solomon Islands	Honiara	Oceania
Somalia	Mogadishu	Africa
South Africa	Pretoria	Africa
South Georgia and the South Sandwich Islands	King Edward Point	
South Korea	Seoul	Asia
South Ossetia	Tskhinvali	
South Sudan	Juba	Africa
Spain	Madrid	Europe
Sri Lanka	Sri Jayawardenapura Kotte	Asia
Sudan	Khartoum	Africa
Suriname	Paramaribo	South America
Sweden	Stockholm	Europe
Switzerland	Bern	Europe
Syria	Damascus	Asia
Taiwan	Taipei	Asia
Tajikistan	Dushanbe	Asia
Tanzania	Dodoma	Africa
Thailand	Bangkok	Asia
Togo	Lome	Africa
Tonga	Nuku'alofa	Oceania
Transnistria	Tiraspol	Europe
Trinidad and Tobago	Port of Spain	South America
Tristan da Cunha	Edinburgh of the Seven Seas	
Tunisia	Tunis	Africa
Turkey	Ankara	Asia
Turkmenistan	Ashgabat	Asia
Turks and Caicos Islands	Cockburn Town	North America
Tuvalu	Funafuti	Oceania
Uganda	Kampala	Africa
Ukraine	Kyiv	Europe
United Arab Emirates	Abu Dhabi	Asia
United Kingdom	London	Europe
United States	Washington	North America
United States Virgin Islands	Charlotte Amalie	North America
Uruguay	Montevideo	South America
Uzbekistan	Tashkent	Asia
Vanuatu	Port Vila	Oceania
Vatican City	Vatican City	Europe
Venezuela	Caracas	South America
Vietnam	Hanoi	Asia
Yemen	Sana'a	Africa
Zambia	Lusaka	Africa
Zimbabwe	Harare	Africa
